"Track URI,""Track Name"",""Artist URI(s)"",""Artist Name(s)"",""Album URI"",""Album Name"",""Album Artist URI(s)"",""Album Artist Name(s)"",""Album Release Date"",""Album Image URL"",""Disc Number"",""Track Number"",""Track Duration (ms)"",""Track Preview URL"",""Explicit"",""Popularity"",""Added By"",""Added At"""
"spotify:track:3YXr95Z2VFhSBmId0jgTxx,""Wannabe"",""spotify:artist:0uq5PttqEjj3IH1bzwcrXF"",""Spice Girls"",""spotify:album:3HdhvqO8aFQhzaJQCk4cZI"",""1990s Mixtape"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2021-04-16"",""https://i.scdn.co/image/ab67616d0000b273863f192aea5ccb6002794784"",""1"",""9"",""173026"","""",""false"",""2"",""spotify:user:1111631356"",""2021-04-23T08:40:05Z"""
"spotify:track:2X43HmabmJDLnMyRw8DdKn,""I Gotta Feeling - Edit"",""spotify:artist:1yxSLGMDHlW21z4YXirZDS"",""Black Eyed Peas"",""spotify:album:3c3Nw9Vc8yEtOA6rJrXdJz"",""I Gotta Feeling"",""spotify:artist:1yxSLGMDHlW21z4YXirZDS"",""Black Eyed Peas"",""2009-01-01"",""https://i.scdn.co/image/ab67616d0000b2732c372c279d8f1bdde637de03"",""1"",""1"",""245933"","""",""false"",""50"",""spotify:user:1111631356"",""2021-04-23T08:40:14Z"""
"spotify:track:4etWY8KDVJZKkkkdHCxQTC,""I Don't Feel Like Dancin' - Radio Edit"",""spotify:artist:3Y10boYzeuFCJ4Qgp53w6o"",""Scissor Sisters"",""spotify:album:2INLQXUCyN1vBLYMzf1QJ6"",""It's Spring time"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2021-04-22"",""https://i.scdn.co/image/ab67616d0000b27301b2fa1570bb747dc8d3aad0"",""1"",""23"",""248640"","""",""false"",""0"",""spotify:user:1111631356"",""2021-04-23T08:40:31Z"""
"spotify:track:2AkmdLbVKS1steeZdy8H1l,""I Want To Break Free - Single Remix"",""spotify:artist:1dfeR4HaWDbWqFHLkxsg1d"",""Queen"",""spotify:album:61foK8xa76FEOk36uOxoc9"",""The Works (Deluxe Edition 2011 Remaster)"",""spotify:artist:1dfeR4HaWDbWqFHLkxsg1d"",""Queen"",""1984-02-27"",""https://i.scdn.co/image/ab67616d0000b273d1e7c0e1bf0980298428a1ae"",""2"",""2"",""258013"","""",""false"",""75"",""spotify:user:1111631356"",""2021-04-23T08:41:58Z"""
"spotify:track:7HW5WIw7ZgZORCzUxv5gW5,""Don't Go Breaking My Heart"",""spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir"",""Elton John, Kiki Dee"",""spotify:album:4ObsEU7mIXbo2n9A31yfds"",""Rock Of The Westies"",""spotify:artist:3PhoLpVuITZKcymswpck5b"",""Elton John"",""1975-10-24"",""https://i.scdn.co/image/ab67616d0000b27342a15a4fe15a8a88ab728d5b"",""1"",""10"",""275440"","""",""false"",""78"",""spotify:user:1111631356"",""2021-04-23T08:42:16Z"""
"spotify:track:557un1HgwYMuqfWGSTmnxw,""Single Ladies (Put a Ring on It)"",""spotify:artist:6vWDO969PvNqNYHIOW5v0m"",""Beyoncé"",""spotify:album:3ROfBX6lJLnCmaw1NrP5K9"",""I AM...SASHA FIERCE - Platinum Edition"",""spotify:artist:6vWDO969PvNqNYHIOW5v0m"",""Beyoncé"",""2008"",""https://i.scdn.co/image/ab67616d0000b273b4c5982e1b92f97a126fc18c"",""1"",""1"",""192586"",""https://p.scdn.co/mp3-preview/e6ad86113a965cae6790b4b209a021690616c99a?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""68"",""spotify:user:1111631356"",""2021-04-23T08:42:28Z"""
"spotify:track:4itkS9rw2pjr9PqnOOhxpb,""Breaking Free"",""spotify:artist:6zTbBugfNc95zo8ClFDhIn, spotify:artist:0GyAZiIV45rnBBf4KdGLS7"",""Troy, Gabriella"",""spotify:album:6q0I6xK4VkMPGELXVAxuMO"",""Breaking Free"",""spotify:artist:2gUMs9PE8XZVQyzCDqaYmW"",""High School Musical Cast"",""2006-01-01"",""https://i.scdn.co/image/ab67616d0000b27308d79e3aa811d12a073e19f4"",""1"",""1"",""209360"","""",""false"",""55"",""spotify:user:1111631356"",""2021-04-23T08:42:37Z"""
"spotify:track:1zusIxNqJu8i4g6P6hJ2Qa,""Mercy"",""spotify:artist:37NqXwtb6nIEqRt4EJSoIO"",""Duffy"",""spotify:album:6Yw7f0kqQ1gbt2OHa7fi1g"",""Rockferry"",""spotify:artist:37NqXwtb6nIEqRt4EJSoIO"",""Duffy"",""2008"",""https://i.scdn.co/image/ab67616d0000b273618eb90c1c10d299e51f3822"",""1"",""7"",""219920"","""",""false"",""68"",""spotify:user:1111631356"",""2021-04-23T08:42:46Z"""
"spotify:track:1D4PL9B8gOg78jiHg3FvBb,""Love Story"",""spotify:artist:06HL4z0CvFAxyc27GXpf02"",""Taylor Swift"",""spotify:album:3EzFY9Rg0PpbADMth746zi"",""Fearless (Big Machine Radio Release Special)"",""spotify:artist:06HL4z0CvFAxyc27GXpf02"",""Taylor Swift"",""2008-11-11"",""https://i.scdn.co/image/ab67616d0000b27360cb9332e8c8c7d8e50854b3"",""1"",""6"",""236266"","""",""false"",""77"",""spotify:user:1111631356"",""2021-04-23T08:42:53Z"""
"spotify:track:2CEgGE6aESpnmtfiZwYlbV,""Dynamite"",""spotify:artist:6MF9fzBmfXghAz953czmBC"",""Taio Cruz"",""spotify:album:0eGvq1J5Ke7VlLLOYIlY4k"",""The Rokstarr Hits Collection"",""spotify:artist:6MF9fzBmfXghAz953czmBC"",""Taio Cruz"",""2010-01-01"",""https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1"",""1"",""1"",""202613"","""",""false"",""79"",""spotify:user:1111631356"",""2021-04-23T08:42:59Z"""
"spotify:track:2NjhV99ncY4A5lSkTHvTtU,""Lollipop"",""spotify:artist:5MmVJVhhYKQ86izuGHzJYA"",""MIKA"",""spotify:album:6oIaXBTIZ2Q9cJKBgrZ2Ox"",""Life In Cartoon Motion"",""spotify:artist:5MmVJVhhYKQ86izuGHzJYA"",""MIKA"",""2006-01-01"",""https://i.scdn.co/image/ab67616d0000b2733408a925e0bcb7940f864a0e"",""1"",""2"",""183533"","""",""false"",""58"",""spotify:user:1111631356"",""2021-04-23T08:43:05Z"""
"spotify:track:20I6sIOMTCkB6w7ryavxtO,""Call Me Maybe"",""spotify:artist:6sFIWsNpZYqfjUpaCgueju"",""Carly Rae Jepsen"",""spotify:album:6SSSF9Y6MiPdQoxqBptrR2"",""Kiss"",""spotify:artist:6sFIWsNpZYqfjUpaCgueju"",""Carly Rae Jepsen"",""2012-01-01"",""https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72"",""1"",""3"",""193400"","""",""false"",""79"",""spotify:user:1111631356"",""2021-04-23T08:43:12Z"""
"spotify:track:5zA8vzDGqPl2AzZkEYQGKh,""Uptown Girl"",""spotify:artist:6zFYqv1mOsgBRQbae3JJ9e"",""Billy Joel"",""spotify:album:3R3x4zIabsvpD3yxqLaUpc"",""An Innocent Man"",""spotify:artist:6zFYqv1mOsgBRQbae3JJ9e"",""Billy Joel"",""1983-08-08"",""https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7"",""1"",""6"",""197706"",""https://p.scdn.co/mp3-preview/fcc3b727931ee5011d48e54124f7982cebc0433a?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""78"",""spotify:user:1111631356"",""2021-04-23T08:43:20Z"""
"spotify:track:4HQP1WwHg9G9IVYqNdXyDO,""The Ketchup Song (Hey Hah)"",""spotify:artist:0hweXBppoySy22Pnn6FZ7s"",""Las Kala"",""spotify:album:4fGXSK54fFHZMgPb9ivF6y"",""The Ketchup Song (Hey Hah)"",""spotify:artist:0hweXBppoySy22Pnn6FZ7s"",""Las Kala"",""2003-01-15"",""https://i.scdn.co/image/ab67616d0000b2736ddcc23184e10629166740dc"",""1"",""1"",""207400"",""https://p.scdn.co/mp3-preview/389e72dcd4c2ad76a7a431f96359933956e126a0?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""40"",""spotify:user:1111631356"",""2021-04-23T08:43:48Z"""
"spotify:track:2PVqPbRv7mlCp2JYzDeMsc,""Rainbow In The Sky - K & A's Radio Blast"",""spotify:artist:123hDJRbi4KtCdBaaKNHW6"",""Paul Elstak"",""spotify:album:5NOu6WXdxUoMoqTgseVIbT"",""The Best Of Paul Elstak Top 20"",""spotify:artist:123hDJRbi4KtCdBaaKNHW6"",""Paul Elstak"",""2011-04-29"",""https://i.scdn.co/image/ab67616d0000b2735b4dd66ddf21812a85b416bf"",""1"",""3"",""213112"",""https://p.scdn.co/mp3-preview/fe06e754f9b90e183e81da7241b474e9e6ece82a?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""55"",""spotify:user:1111631356"",""2021-04-23T08:43:56Z"""
"spotify:track:0GONea6G2XdnHWjNZd6zt3,""Summer Of '69"",""spotify:artist:3Z02hBLubJxuFJfhacLSDc"",""Bryan Adams"",""spotify:album:2o2G49EPi4lua5zgxUKhLL"",""Reckless (30th Anniversary / Deluxe Edition)"",""spotify:artist:3Z02hBLubJxuFJfhacLSDc"",""Bryan Adams"",""1984-11-05"",""https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512"",""1"",""6"",""216053"","""",""false"",""82"",""spotify:user:1111631356"",""2021-04-23T08:44:05Z"""
"spotify:track:0IprUQmGWvCtnbcpHj9UIi,""Sex on the Beach - Radio Mix"",""spotify:artist:6AGGV787LmMPGeyCgZqy6U"",""T-Spoon"",""spotify:album:47vSyDEsXn8mG7JKDMiK5L"",""The Hit Collection"",""spotify:artist:6AGGV787LmMPGeyCgZqy6U"",""T-Spoon"",""2011-07-01"",""https://i.scdn.co/image/ab67616d0000b273efddc987485434531db4087f"",""1"",""1"",""226000"",""https://p.scdn.co/mp3-preview/98e8f41be02ad8994dbd081e5c08831dd07c2ca9?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""55"",""spotify:user:1111631356"",""2021-04-23T08:44:18Z"""
